Entity Type,License Number,Sidewalk Cafe Type,Lic Area Sq Ft,Entity Name,Camis Trade Name,Address Bldg,Address Street Name,Address Location,Address City,Address State,Address Zip Code,Camis Phone Number
SIDEWALK CAFE,293907,Unenclosed,611,DMF GRAMERCY ENTERPRISES INC,PETE'S TAVERN       S/C #111,129,EAST   18 STREET,,NEW YORK,NY,10003,2124737676
SIDEWALK CAFE,571720,Enclosed,435,1616 SECOND AVENUE RESTAURANT INC,DORRIAN'S RED HAND  E/S/C #217,1616,2 AVENUE,,NEW YORK,NY,10028,2127726660
SIDEWALK CAFE,578810,Enclosed,407,CAFFE ISLE OF CAPRI INC,,1028,3 AVENUE,,NEW YORK,NY,10065,2127581828
SIDEWALK CAFE,623018,Enclosed,479,P J COFFEE SHOP INC,,80,CLARK STREET,,BROOKLYN,NY,11201,7188555484
SIDEWALK CAFE,629616,Enclosed,366,ZONOR REST CORP,,225,WEST    4 STREET,,NEW YORK,NY,10014,2122436722
SIDEWALK CAFE,670525,Unenclosed,752,CALIENTE CAB REST. CO INC,CALIENTE CAB CO,61,7 AVENUE SOUTH,,NEW YORK,NY,10014,2122438517
SIDEWALK CAFE,693313,Enclosed,129,SANGE RESTAURANT INC,TIO PEPE            S/C #215,168,WEST    4 STREET,,NEW YORK,NY,10014,2126755097
SIDEWALK CAFE,695954,Enclosed,416,269 COLUMBUS REST. CORP.,THE CITY GRILL,269,COLUMBUS AVENUE,,NEW YORK,NY,10023,2123970666
SIDEWALK CAFE,697987,Enclosed,429,MIMIS REST CORP,E/S/C #255,984,2 AVENUE,,NEW YORK,NY,10022,2126884692
SIDEWALK CAFE,698346,Enclosed,260,ROLL-N-ROASTER CORP.,,2901,EMMONS AVENUE,,BROOKLYN,NY,11235,7187695831
SIDEWALK CAFE,699252,Enclosed,170,NECTAR RESTAURANT CORP,,1090,MADISON AVENUE,,NY,NY,10028,2127720916
SIDEWALK CAFE,733469,Enclosed,500,STAGE DELICATESSEN & RESTAURANT INC.,E/S/C #294,832,7 AVENUE,832-834 7 AVE,NEW YORK,NY,10019,2122457850
SIDEWALK CAFE,735569,Enclosed,548,INDIA FOODS INTERNATIONAL INC,INDIAN CAFE,2791,BROADWAY,,NEW YORK,NY,10025,2127499200
